code,name,high,low,close,change,volume,value,frequency
MLBI,Multi Bintang Indonesia Tbk.,5.700,5.600,5.625,25,97.300,549.352.500,88
MLIA,Mulia Industrindo Tbk,338,334,336,2,3.161.600,1.062.994.200,127
MLPL,Multipolar Tbk.,141,135,136,3,73.733.900,10.044.692.000,3.947
MLPT,Multipolar Technology Tbk.,60.100,57.000,57.000,3100,17.000,993.520.000,110
MMLP,Mega Manunggal Property Tbk.,580,575,580,5,19.274.100,11.140.624.000,998
MNCN,Media Nusantara Citra Tbk.,268,262,262,4,21.829.100,5.761.266.000,13.419
MPMX,Mitra Pinasthika Mustika Tbk.,960,950,960,5,1.371.700,1.311.061.500,585
MPPA,Matahari Putra Prima Tbk.,61,59,59,1,37.438.800,2.235.734.700,1.747
MRAT,Mustika Ratu Tbk.,635,565,630,20,1.217.300,737.267.500,348
MREI,Maskapai Reasuransi Indonesia ,1.075,965,1.040,100,2.478.600,2.510.828.500,811
MSKY,MNC Sky Vision Tbk.,83,80,80,2,6.848.100,552.398.700,514
MTDL,Metrodata Electronics Tbk.,620,595,605,15,4.247.500,2.562.158.000,672
MTFN,Capitalinc Investment Tbk.,17,16,17,1,61.730.500,1.043.313.300,1.098
MTLA,Metropolitan Land Tbk.,500,462,500,20,1.210.900,592.082.600,191
MTSM,Metro Realty Tbk.,0,0,500,0,0,0,0
MYOH,Samindo Resources Tbk.,1.485,1.435,1.445,15,5.700,8.217.000,8
MYOR,Mayora Indah Tbk.,2.250,2.190,2.200,10,6.619.700,14.685.532.000,3.403
MYTX,Asia Pacific Investama Tbk.,0,0,36,0,0,0,0
NELY,Pelayaran Nelly Dwi Putri Tbk.,412,358,394,32,7.169.300,2.726.242.400,1.451
NIKL,Pelat Timah Nusantara Tbk.,360,346,352,2,1.560.600,552.437.400,555
NIRO,City Retail Developments Tbk.,330,306,320,12,1.234.300,388.685.400,255
NISP,Bank OCBC NISP Tbk.,1.365,1.355,1.360,0,1.335.400,1.815.912.000,523
NOBU,Bank Nationalnobu Tbk.,525,510,510,5,2.257.300,1.167.505.500,434
NRCA,Nusa Raya Cipta Tbk.,1.775,1.515,1.555,225,78.249.000,126.475.526.500,13.708
OCAP,Onix Capital Tbk.,0,0,159,0,0,0,0
OKAS,Ancora Indonesia Resources Tbk,172,157,166,10,71.159.800,11.800.787.100,6.077
OMRE,Indonesia Prima Property Tbk,0,0,410,0,0,0,0
PADI,Minna Padi Investama Sekuritas,123,108,114,3,289.732.200,33.347.379.600,15.997
PALM,Provident Investasi Bersama Tb,386,380,380,2,386.700,147.335.200,137
PANR,Panorama Sentrawisata Tbk.,670,645,670,10,536.700,351.081.000,187
PANS,Panin Sekuritas Tbk.,1.485,1.450,1.480,5,36.900,54.482.000,46
PBRX,Pan Brothers Tbk.,38,37,37,3,16.923.800,630.612.400,591
PDES,Destinasi Tirta Nusantara Tbk,585,555,580,15,50.700,28.438.000,25
PEGE,Panca Global Kapital Tbk.,266,228,236,32,30.198.800,7.363.863.800,4.219
PGAS,Perusahaan Gas Negara Tbk.,1.915,1.860,1.905,45,42.110.500,80.098.223.500,7.718
PGLI,Pembangunan Graha Lestari Inda,220,200,210,10,792.800,166.564.200,265
PICO,Pelangi Indah Canindo Tbk,228,218,224,4,1.017.200,225.776.800,271
PJAA,Pembangunan Jaya Ancol Tbk.,570,550,560,5,409.700,229.990.000,161
PKPK,Paragon Karya Perkasa Tbk.,1.150,1.100,1.130,5,1.070.500,1.209.724.000,263
PLAS,Polaris Investama Tbk,0,0,50,0,0,0,0
PLIN,Plaza Indonesia Realty Tbk.,0,0,2.510,0,0,0,0
PNBN,Bank Pan Indonesia Tbk,1.105,1.075,1.085,15,5.048.700,5.497.856.000,630
PNBS,Bank Panin Dubai Syariah Tbk.,54,53,53,0,16.206.400,860.486.200,403
PNIN,Paninvest Tbk.,800,785,800,5,1.225.900,965.782.000,133
PNLF,Panin Financial Tbk.,256,250,250,4,56.889.100,14.308.267.000,2.600
PNSE,Pudjiadi & Sons Tbk.,780,735,750,15,19.200,14.302.000,32
POLY,Asia Pacific Fibers Tbk,26,26,26,0,688.800,17.908.800,59
POOL,Pool Advista Indonesia Tbk.,0,0,50,0,0,0,0
PPRO,PP Properti Tbk.,0,0,21,0,0,0,0
PSAB,J Resources Asia Pasifik Tbk.,585,555,575,30,100.706.000,57.480.067.000,8.714
PSDN,Prasidha Aneka Niaga Tbk,139,128,133,3,7.244.200,954.243.600,1.319
PSKT,Red Planet Indonesia Tbk.,270,254,270,0,35.993.200,9.280.900.400,1.338
PTBA,Bukit Asam Tbk.,2.280,2.260,2.280,10,5.773.900,13.106.242.000,3.139
PTIS,Indo Straits Tbk.,362,334,352,12,491.200,170.098.200,146
PTPP,PP (Persero) Tbk.,360,352,358,2,12.963.900,4.611.097.000,1.040
PTRO,Petrosea Tbk.,10.850,10.625,10.700,75,10.485.300,112.093.710.000,6.746
PTSN,Sat Nusapersada Tbk,372,362,362,2,549.200,200.207.000,177
PTSP,Pioneerindo Gourmet Internatio,1.070,1.000,1.000,5,28.100,28.513.500,41
PUDP,Pudjiadi Prestige Tbk.,965,850,850,145,762.700,665.902.000,396
PWON,Pakuwon Jati Tbk.,348,344,346,2,39.548.200,13.662.528.000,3.978
PYFA,Pyridam Farma Tbk,505,488,500,0,30.597.900,15.188.351.700,3.107
RAJA,Rukun Raharja Tbk.,5.975,5.625,5.875,300,27.933.900,162.891.215.000,13.434
RALS,Ramayana Lestari Sentosa Tbk.,418,410,412,6,6.323.400,2.617.827.000,1.388
RANC,Supra Boga Lestari Tbk.,950,910,930,20,172.800,158.881.000,79
RBMS,Ristia Bintang Mahkotasejati T,43,42,42,1,1.186.800,50.771.500,83
RDTX,Roda Vivatex Tbk,12.125,12.050,12.050,500,5.400,65.300.000,16
RELI,Reliance Sekuritas Indonesia T,605,580,580,5,21.500,12.680.500,30
RICY,Ricky Putra Globalindo Tbk,105,95,105,0,1.500.300,155.264.500,157
RIGS,Rig Tenders Indonesia Tbk.,820,740,775,45,1.013.600,781.058.500,418
RIMO,Rimo International Lestari Tbk,0,0,50,0,0,0,0
RODA,Pikko Land Development Tbk.,56,48,49,2,1.313.000,67.908.100,93
ROTI,Nippon Indosari Corpindo Tbk.,785,780,785,0,158.400,123.745.000,160
RUIS,Radiant Utama Interinsco Tbk.,210,200,200,4,1.494.100,302.334.800,240
SAFE,Steady Safe Tbk,408,358,366,42,1.334.700,507.419.000,342
SAME,Sarana Meditama Metropolitan T,384,360,364,16,3.817.600,1.399.061.600,553
SCCO,Supreme Cable Manufacturing & ,2.340,2.270,2.320,0,59.500,138.096.000,47
SCMA,Surya Citra Media Tbk.,360,326,340,12,322.209.300,108.932.799.400,19.496
SCPI,Organon Pharma Indonesia Tbk.,0,0,29.000,0,0,0,0
SDMU,Sidomulyo Selaras Tbk.,101,93,94,4,6.441.500,615.674.000,616
SDPC,Millennium Pharmacon Internati,160,154,159,2,777.100,122.071.100,81
SDRA,Bank Woori Saudara Indonesia 1,282,278,280,2,520.400,145.475.000,102
SGRO,Sampoerna Agro Tbk.,7.575,7.525,7.575,0,1.641.800,12.372.735.000,300
SHID,Hotel Sahid Jaya International,905,875,900,0,30.200,26.668.000,21
SIDO,Industri Jamu dan Farmasi Sido,555,540,545,10,14.305.200,7.811.972.500,3.686
SILO,Siloam International Hospitals,2.590,2.500,2.570,20,540.200,1.373.145.000,618
SIMA,Siwani Makmur Tbk,0,0,50,0,0,0,0
SIMP,Salim Ivomas Pratama Tbk.,565,550,555,10,5.805.300,3.230.446.500,1.500
SIPD,Sreeya Sewu Indonesia Tbk.,1.170,1.160,1.160,110,90.700,105.578.000,30
SKBM,Sekar Bumi Tbk.,605,486,605,119,2.583.200,1.459.883.500,1.249
SKLT,Sekar Laut Tbk.,258,242,252,10,1.238.700,309.182.200,286
SKYB,Northcliff Citranusa Indonesia,0,0,51,0,0,0,0
SMAR,Sinar Mas Agro Resources and T,4.800,4.700,4.720,80,32.600,153.942.000,79
SMBR,Semen Baturaja Tbk.,288,284,286,4,7.658.900,2.190.197.400,544
SMCB,Solusi Bangun Indonesia Tbk.,0,0,775,0,0,0,0
SMDM,Suryamas Dutamakmur Tbk.,820,805,810,5,226.800,183.596.000,226
SMDR,Samudera Indonesia  Tbk.,360,340,350,4,90.345.600,31.641.211.600,6.222
SMGR,Semen Indonesia (Persero) Tbk.,2.710,2.650,2.700,30,8.001.100,21.430.411.000,2.722
SMMA,Sinarmas Multiartha Tbk.,13.400,12.775,13.375,525,77.800,1.027.287.500,132
SMMT,Golden Eagle Energy Tbk.,1.500,1.430,1.500,60,92.800,134.510.500,90
SMRA,Summarecon Agung Tbk.,392,382,382,6,17.571.200,6.763.715.000,2.337
SMRU,SMR Utama Tbk.,0,0,50,0,0,0,0
SMSM,Selamat Sempurna Tbk.,1.740,1.720,1.740,15,1.293.900,2.241.821.500,915
SOCI,Soechi Lines Tbk.,456,406,416,30,61.587.000,26.097.676.000,6.646
SONA,Sona Topas Tourism Industry Tb,2.250,2.150,2.160,90,9.400,20.651.000,34
SPMA,Suparma Tbk.,246,236,238,6,712.500,169.974.800,234
SQMI,Wilton Makmur Indonesia Tbk.,0,0,43,0,0,0,0
SRAJ,Sejahteraraya Anugrahjaya Tbk.,17.575,16.325,16.500,700,662.100,10.962.910.000,580
SRIL,Sri Rejeki Isman Tbk.,0,0,146,0,0,0,0
SRSN,Indo Acidatama Tbk,62,61,61,1,3.477.000,214.128.200,250
SRTG,Saratoga Investama Sedaya Tbk.,1.480,1.450,1.450,20,3.780.300,5.501.195.000,1.251
SSIA,Surya Semesta Internusa Tbk.,1.695,1.655,1.665,5,11.394.600,19.049.431.000,3.379
SSMS,Sawit Sumbermas Sarana Tbk.,1.575,1.530,1.565,0,6.845.000,10.623.798.000,787
SSTM,Sunson Textile Manufacture Tbk,0,0,2.520,0,0,0,0
STAR,Buana Artha Anugerah Tbk.,492,492,492,53,12.478.000,6.139.176.000,621
STTP,Siantar Top Tbk.,9.825,9.525,9.775,75,1.800,17.292.500,11
SUGI,Sugih Energy Tbk.,0,0,50,0,0,0,0
SULI,SLJ Global Tbk.,144,130,134,9,7.494.000,1.018.029.300,978
SUPR,Solusi Tunas Pratama Tbk.,0,0,43.850,0,0,0,0
TALF,Tunas Alfin Tbk.,620,535,545,80,1.406.400,798.792.000,926
TARA,Agung Semesta Sejahtera Tbk.,35,34,34,1,1.337.800,45.577.400,115
TAXI,Express Transindo Utama Tbk.,20,18,18,1,58.112.200,1.067.933.900,551
TBIG,Tower Bersama Infrastructure T,2.140,2.060,2.140,0,643.200,1.353.666.000,326
TBLA,Tunas Baru Lampung Tbk.,680,670,680,5,1.844.800,1.240.663.000,313
TBMS,Tembaga Mulia Semanan Tbk.,1.265,1.215,1.220,0,32.100,39.178.500,34
TCID,Mandom Indonesia Tbk.,2.950,2.940,2.950,10,4.600,13.565.000,5
TELE,Omni Inovasi Indonesia Tbk.,0,0,9,0,0,0,0
TFCO,Tifico Fiber Indonesia Tbk.,0,0,500,0,0,0,0
TGKA,Tigaraksa Satria Tbk.,4.970,4.880,4.880,80,4.900,24.049.000,28
TIFA,KDB Tifa Finance Tbk.,550,482,525,10,1.557.400,808.085.500,279
TINS,Timah Tbk.,3.410,3.240,3.370,140,38.775.400,130.004.332.000,11.618
TIRA,Tira Austenite Tbk,1.365,1.270,1.300,30,22.900,29.792.500,52
TIRT,Tirta Mahakam Resources Tbk,0,0,116,0,0,0,0
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,7.175,7.075,7.150,25,632.200,4.490.457.500,458
TLKM,Telkom Indonesia (Persero) Tbk,3.490,3.420,3.470,60,113.720.300,392.934.701.000,11.814
TMAS,Temas Tbk.,134,131,131,1,15.821.300,2.085.045.800,1.105
TMPO,Tempo Intimedia Tbk.,172,165,168,1,5.654.400,951.470.300,1.323
TOBA,TBS Energi Utama Tbk.,780,710,725,45,62.840.100,45.925.386.000,11.123
TOTL,Total Bangun Persada Tbk.,1.025,1.000,1.010,15,4.753.100,4.794.656.000,761
TOTO,Surya Toto Indonesia Tbk.,274,268,270,2,1.016.000,273.969.200,493
TOWR,Sarana Menara Nusantara Tbk.,590,575,580,0,48.517.700,28.221.043.500,4.690
TPIA,Chandra Asri Pacific Tbk.,7.175,7.050,7.050,125,3.809.900,27.030.310.000,2.289
TPMA,Trans Power Marine Tbk.,570,555,560,5,5.820.300,3.257.955.500,1.445
TRAM,Trada Alam Minera Tbk.,0,0,50,0,0,0,0
TRIL,Triwira Insanlestari Tbk.,0,0,50,0,0,0,0
TRIM,Trimegah Sekuritas Indonesia T,695,650,680,5,371.400,249.833.000,205
TRIO,Trikomsel Oke Tbk.,0,0,426,0,0,0,0
TRIS,Trisula International Tbk.,202,189,192,4,2.599.000,506.159.600,919
TRST,Trias Sentosa Tbk.,428,418,420,10,154.300,65.302.000,70
TRUS,Trust Finance Indonesia Tbk,476,436,460,4,40.900,18.867.000,80
TSPC,Tempo Scan Pacific Tbk.,2.780,2.720,2.760,20,653.900,1.793.578.000,489
ULTJ,Ultrajaya Milk Industry & Trad,1.495,1.465,1.475,20,1.503.200,2.218.306.000,959
UNIC,Unggul Indah Cahaya Tbk.,9.075,8.925,9.075,100,1.200,10.795.000,10
UNIT,Nusantara Inti Corpora Tbk,0,0,316,0,0,0,0
UNSP,Bakrie Sumatera Plantations Tb,450,420,436,16,3.973.400,1.730.466.800,258
UNTR,United Tractors Tbk.,30.500,29.200,29.975,175,5.642.100,169.918.372.500,9.093
UNVR,Unilever Indonesia Tbk.,2.730,2.670,2.700,70,22.606.200,60.856.951.000,8.748
VICO,Victoria Investama Tbk.,218,210,212,4,328.000,69.738.800,145
VINS,Victoria Insurance Tbk.,169,155,155,10,1.592.200,252.851.400,479
VIVA,Visi Media Asia Tbk.,54,50,50,4,118.714.600,6.027.121.200,1.430
VOKS,Voksel Electric Tbk.,266,256,258,8,129.100,33.526.600,85
VRNA,Mizuho Leasing Indonesia Tbk.,90,84,88,0,2.557.100,220.744.600,191
WAPO,Wahana Pronatural Tbk.,188,181,183,2,527.700,97.392.800,236
WEHA,WEHA Transportasi Indonesia Tb,165,124,153,21,298.846.600,45.225.978.100,25.431
WICO,Wicaksana Overseas Internation,0,0,123,0,0,0,0
WIIM,Wismilak Inti Makmur Tbk.,1.625,1.515,1.535,20,8.050.800,12.661.722.000,4.762
WIKA,Wijaya Karya (Persero) Tbk.,0,0,204,0,0,0,0
WINS,Wintermar Offshore Marine Tbk.,510,480,490,0,6.156.800,3.049.829.000,1.137
WOMF,Wahana Ottomitra Multiartha Tb,328,324,326,2,77.900,25.395.200,42
WSKT,Waskita Karya (Persero) Tbk.,0,0,202,0,0,0,0
WTON,Wijaya Karya Beton Tbk.,102,98,100,0,16.364.400,1.639.268.100,868
YPAS,Yanaprima Hastapersada Tbk,635,610,620,10,45.100,27.970.500,46
YULE,Yulie Sekuritas Indonesia Tbk.,3.370,2.800,3.200,500,95.100,317.810.000,132
ZBRA,Dosni Roha Indonesia Tbk.,0,0,50,0,0,0,0
SHIP,Sillo Maritime Perdana Tbk.,4.710,4.620,4.700,10,16.300,76.130.000,52
CASA,Capital Financial Indonesia Tb,1.640,1.595,1.600,0,404.000,647.096.000,162
DAYA,Duta Intidaya Tbk.,1.290,1.250,1.265,15,31.000,39.542.500,31
DPUM,Dua Putra Utama Makmur Tbk.,276,190,276,54,117.078.200,31.064.910.100,10.558
IDPR,Indonesia Pondasi Raya Tbk.,282,274,278,2,111.800,31.015.400,83
JGLE,Graha Andrasentra Propertindo ,38,38,38,4,115.936.600,4.405.590.800,2.267
KINO,Kino Indonesia Tbk.,1.385,1.335,1.340,45,28.700,39.064.500,39
MARI,Mahaka Radio Integra Tbk.,32,31,32,0,3.432.100,107.989.700,115
MKNT,Mitra Komunikasi Nusantara Tbk,0,0,1,0,0,0,0
MTRA,Mitra Pemuda Tbk.,0,0,244,0,0,0,0
OASA,Maharaksa Biru Energi Tbk.,262,246,250,8,111.398.100,28.071.105.600,7.489
POWR,Cikarang Listrindo Tbk.,705,700,700,5,2.628.600,1.843.307.000,517
INCF,Indo Komoditi Korpora Tbk.,62,61,61,2,1.280.300,78.914.800,84
WSBP,Waskita Beton Precast Tbk.,24,23,24,0,47.067.800,1.090.990.600,920
PBSA,Paramita Bangun Sarana Tbk.,1.640,1.410,1.615,155,7.478.600,11.635.050.500,1.440
PRDA,Prodia Widyahusada Tbk.,2.410,2.350,2.410,60,893.600,2.137.279.000,298
BOGA,Bintang Oto Global Tbk.,1.150,1.025,1.110,10,145.400,159.034.000,136
BRIS,Bank Syariah Indonesia Tbk.,2.260,2.220,2.220,20,6.589.700,14.690.428.000,4.293
PORT,Nusantara Pelabuhan Handal Tbk,1.575,1.285,1.285,225,645.100,848.953.000,528
CARS,Industri dan Perdagangan Bintr,125,122,124,0,17.505.000,2.155.687.600,590
MINA,Sanurhasta Mitra Tbk.,358,358,358,38,36.029.300,12.898.489.400,3.450
CLEO,Sariguna Primatirta Tbk.,466,460,464,2,7.574.800,3.506.709.200,1.373
TAMU,Pelayaran Tamarin Samudra Tbk.,37,34,37,3,36.740.000,1.306.346.500,769
CSIS,Cahayasakti Investindo Sukses ,468,376,376,66,62.741.900,24.218.534.400,7.731
TGRA,Terregra Asia Energy Tbk.,0,0,27,0,0,0,0
FIRE,Alfa Energi Investama Tbk.,175,133,158,26,616.570.900,98.670.596.700,54.758
TOPS,Totalindo Eka Persada Tbk.,0,0,1,0,0,0,0
KMTR,Kirana Megatara Tbk.,280,274,276,0,135.700,37.646.200,41
ARMY,Armidian Karyatama Tbk.,0,0,50,0,0,0,0
MAPB,MAP Boga Adiperkasa Tbk.,1.540,1.450,1.530,10,3.800,5.581.500,15
WOOD,Integra Indocabinet Tbk.,370,352,362,6,4.797.700,1.732.847.600,787
HRTA,Hartadinata Abadi Tbk.,2.000,1.755,1.875,180,85.455.100,159.842.232.500,19.711
MABA,Marga Abhinaya Abadi Tbk.,0,0,50,0,0,0,0
HOKI,Buyung Poetra Sembada Tbk.,75,73,74,0,40.722.400,3.018.251.800,1.185
MPOW,Megapower Makmur Tbk.,124,121,121,2,3.777.100,459.665.000,437
MARK,Mark Dynamics Indonesia Tbk.,865,800,825,30,24.772.600,20.624.913.500,3.731
NASA,Andalan Perkasa Abadi Tbk.,39,39,39,0,1.041.500,40.618.500,89
MDKI,Emdeki Utama Tbk.,214,204,206,6,1.450.000,300.763.800,332
BELL,Trisula Textile Industries Tbk,72,66,68,3,25.524.700,1.756.449.700,1.729
KIOS,Kioson Komersial Indonesia Tbk,0,0,266,0,0,0,0
GMFI,Garuda Maintenance Facility Ae,96,95,96,8,23.914.500,2.280.875.600,705
MTWI,Malacca Trust Wuwungan Insuran,380,352,370,4,158.300,57.026.600,65
ZINC,Kapuas Prima Coal Tbk.,32,30,31,1,10.926.000,341.201.300,326
MCAS,M Cash Integrasi Tbk.,585,570,570,15,221.400,127.198.000,221
PPRE,PP Presisi Tbk.,131,123,127,1,31.169.800,3.961.390.700,2.587
WEGE,Wijaya Karya Bangunan Gedung T,70,67,68,1,16.940.300,1.161.861.800,664
PSSI,IMC Pelita Logistik Tbk.,374,360,364,4,399.700,145.516.800,159
MORA,Mora Telematika Indonesia Tbk.,10.600,9.375,10.125,325,1.633.300,16.227.525.000,1.540
DWGL,Dwi Guna Laksana Tbk.,328,310,314,10,2.607.900,825.627.200,581
PBID,Panca Budi Idaman Tbk.,484,478,482,0,1.625.100,779.220.200,553
JMAS,Asuransi Jiwa Syariah Jasa Mit,197,174,182,8,11.562.600,2.129.354.600,1.658
CAMP,Campina Ice Cream Industry Tbk,220,214,216,0,2.217.900,480.892.800,311
IPCM,Jasa Armada Indonesia Tbk.,370,362,366,4,3.645.700,1.334.585.400,1.013
PCAR,Prima Cakrawala Abadi Tbk.,39,38,38,0,6.129.000,232.942.000,96
LCKM,LCK Global Kedaton Tbk.,302,252,292,22,767.800,214.650.000,356
BOSS,Borneo Olah Sarana Sukses Tbk.,0,0,50,0,0,0,0
HELI,Jaya Trishindo Tbk.,238,216,218,8,992.200,221.074.600,261
JSKY,Sky Energy Indonesia Tbk.,0,0,52,0,0,0,0
INPS,Indah Prakasa Sentosa Tbk.,0,0,308,0,0,0,0
GHON,Gihon Telekomunikasi Indonesia,1.695,1.645,1.655,20,33.500,55.827.000,47
TDPM,Tianrong Chemicals Industry Tb,0,0,119,0,0,0,0
DFAM,Dafam Property Indonesia Tbk.,100,98,98,1,3.828.400,377.683.500,394
NICK,Charnic Capital Tbk.,1.395,1.170,1.355,160,136.000,173.574.000,187
BTPS,Bank BTPN Syariah Tbk.,1.210,1.185,1.205,5,4.829.100,5.762.482.500,1.696
SPTO,Surya Pertiwi Tbk.,645,635,640,5,489.300,312.795.500,209
PRIM,Royal Prima Tbk.,84,81,82,1,3.335.800,274.655.400,509
HEAL,Medikaloka Hermina Tbk.,1.405,1.375,1.400,30,1.574.200,2.182.895.500,852
TRUK,Guna Timur Raya Tbk.,600,500,565,60,1.355.400,765.355.000,982
PZZA,Sarimelati Kencana Tbk.,222,216,218,0,980.400,213.437.400,200
TUGU,Asuransi Tugu Pratama Indonesi,1.115,1.090,1.110,15,1.626.700,1.795.198.000,390
MSIN,MNC Digital Entertainment Tbk.,424,416,420,2,31.138.400,13.041.141.000,7.149
SWAT,Sriwahana Adityakarta Tbk.,0,0,16,0,0,0,0
TNCA,Trimuda Nuansa Citra Tbk.,270,240,250,20,2.960.600,756.991.200,694
MAPA,Map Aktif Adiperkasa Tbk.,725,705,715,0,22.363.400,15.928.258.500,2.848
TCPI,Transcoal Pacific Tbk.,9.000,8.500,8.975,475,12.764.800,112.595.132.500,3.964
IPCC,Indonesia Kendaraan Terminal T,1.415,1.395,1.405,5,2.482.800,3.492.715.000,1.196
RISE,Jaya Sukses Makmur Sentosa Tbk,9.450,8.800,8.900,225,605.100,5.441.485.000,575
BPTR,Batavia Prosperindo Trans Tbk.,90,88,90,0,147.300,13.013.000,73
POLL,Pollux Properties Indonesia Tb,0,0,112,0,0,0,0
NFCX,NFC Indonesia Tbk.,1.785,1.700,1.700,10,95.300,165.474.500,32
MGRO,Mahkota Group Tbk.,760,750,760,5,4.631.600,3.497.677.500,337
NUSA,Sinergi Megah Internusa Tbk.,0,0,50,0,0,0,0
FILM,MD Entertainment Tbk.,9.725,9.725,9.725,875,2.475.400,24.073.265.000,1.284
ANDI,Andira Agro Tbk.,29,27,27,2,23.371.100,653.556.000,581
LAND,Trimitra Propertindo Tbk.,48,48,48,4,16.033.700,769.617.600,470
MOLI,Madusari Murni Indah Tbk.,310,304,304,4,1.395.200,425.704.400,370
PANI,Pantai Indah Kapuk Dua Tbk.,13.200,11.825,12.225,975,35.202.200,436.652.565.000,22.745
DIGI,Arkadia Digital Media Tbk.,35,35,35,1,326.700,11.434.500,51
CITY,Natura City Developments Tbk.,474,416,416,46,1.480.100,638.005.200,324
SAPX,Satria Antaran Prima Tbk.,306,298,302,0,339.100,101.879.800,113
SURE,Super Energy Tbk.,2.650,2.500,2.610,60,8.300,21.331.000,33
HKMU,HK Metals Utama Tbk.,0,0,50,0,0,0,0
MPRO,Maha Properti Indonesia Tbk.,11.500,11.500,11.500,0,7.100,81.650.000,15
DUCK,Jaya Bersama Indo Tbk.,0,0,176,0,0,0,0
GOOD,Garudafood Putra Putri Jaya Tb,364,352,364,6,810.700,289.673.600,262
SKRN,Superkrane Mitra Utama Tbk.,565,550,555,10,294.300,163.366.000,206
YELO,Yelooo Integra Datanet Tbk.,0,0,150,0,0,0,0
CAKK,Cahayaputra Asa Keramik Tbk.,179,175,177,1,78.300,13.717.400,43
SATU,Kota Satu Properti Tbk.,264,262,262,2,3.172.200,831.144.200,794
SOSS,Shield On Service Tbk.,1.025,1.025,1.025,90,76.100,78.002.500,63
DEAL,Dewata Freightinternational Tb,0,0,6,0,0,0,0
POLA,Pool Advista Finance Tbk.,54,51,54,3,2.529.500,133.023.300,124
DIVA,Distribusi Voucher Nusantara T,172,167,167,3,1.015.900,171.152.300,191
LUCK,Sentral Mitra Informatika Tbk.,130,122,126,2,18.416.500,2.324.292.900,2.212
URBN,Urban Jakarta Propertindo Tbk.,262,236,242,14,2.069.400,507.095.000,577
SOTS,Satria Mega Kencana Tbk.,0,0,1.075,0,0,0,0
ZONE,Mega Perintis Tbk.,525,510,525,0,4.500,2.342.500,22
PEHA,Phapros Tbk.,312,296,300,2,261.300,78.589.400,114
FOOD,Sentra Food Indonesia Tbk.,380,370,370,10,202.600,76.812.000,17
BEEF,Estika Tata Tiara Tbk.,525,434,434,76,97.299.200,44.420.299.200,11.171
POLI,Pollux Hotels Group Tbk.,985,985,985,0,19.500,19.207.500,16
CLAY,Citra Putra Realty Tbk.,2.840,2.300,2.500,20,655.400,1.624.229.000,758
NATO,Surya Permata Andalan Tbk.,0,0,316,0,0,0,0
JAYA,Armada Berjaya Trans Tbk.,154,108,110,9,217.294.200,27.834.109.800,16.137
COCO,Wahana Interfood Nusantara Tbk,332,316,320,4,19.543.600,6.296.655.400,1.729
MTPS,Meta Epsi Tbk.,0,0,81,0,0,0,0
CPRI,Capri Nusa Satu Properti Tbk.,0,0,50,0,0,0,0
HRME,Menteng Heritage Realty Tbk.,55,55,55,5,10.623.600,584.298.000,292
POSA,Bliss Properti Indonesia Tbk.,0,0,50,0,0,0,0
JAST,Jasnita Telekomindo Tbk.,107,100,102,0,23.231.000,2.391.971.600,949
FITT,Hotel Fitra International Tbk.,635,540,540,95,3.218.000,1.813.503.000,1.082
BOLA,Bali Bintang Sejahtera Tbk.,181,171,175,1,4.145.500,726.919.900,424
CCSI,Communication Cable Systems In,340,308,330,8,1.218.400,396.887.600,478
SFAN,Surya Fajar Capital Tbk.,1.945,1.940,1.940,0,76.900,149.219.500,42
POLU,Golden Flower Tbk.,15.400,15.000,15.125,1350,8.000,121.140.000,62
KJEN,Krida Jaringan Nusantara Tbk.,222,202,208,18,4.317.500,905.345.600,700
KAYU,Darmi Bersaudara Tbk.,0,0,18,0,0,0,0
ITIC,Indonesian Tobacco Tbk.,362,342,344,18,1.769.300,615.199.000,571
PAMG,Bima Sakti Pertiwi Tbk.,86,72,86,20,459.143.000,36.466.752.600,21.689
IPTV,MNC Vision Networks Tbk.,50,50,50,1,40.266.800,2.013.340.000,781
BLUE,Berkah Prima Perkasa Tbk.,3.000,2.880,3.000,100,122.000,355.153.000,164
ENVY,Envy Technologies Indonesia Tb,0,0,50,0,0,0,0
EAST,Eastparc Hotel Tbk.,100,94,97,2,7.497.600,728.367.600,715
LIFE,MSIG Life Insurance Indonesia ,7.900,7.700,7.900,100,2.400,18.680.000,13
FUJI,Fuji Finance Indonesia Tbk.,700,695,700,0,332.400,231.309.500,80
KOTA,DMS Propertindo Tbk.,55,55,55,6,7.066.800,388.674.000,439
INOV,Inocycle Technology Group Tbk.,134,129,129,1,2.535.000,329.106.900,201
ARKA,Arkha Jayanti Persada Tbk.,36,35,35,1,2.745.100,96.247.600,152
SMKL,Satyamitra Kemas Lestari Tbk.,176,174,175,1,241.800,42.344.400,55
HDIT,Hensel Davest Indonesia Tbk.,81,70,71,3,40.226.900,2.996.292.900,3.470
KEEN,Kencana Energi Lestari Tbk.,1.010,990,1.000,5,4.472.400,4.466.924.000,870
BAPI,Bhakti Agung Propertindo Tbk.,30,30,30,0,5.783.000,173.490.000,254
TFAS,Telefast Indonesia Tbk.,304,288,298,2,1.066.400,313.752.600,272
GGRP,Gunung Raja Paksi Tbk.,300,272,290,10,8.257.600,2.336.430.400,1.529
OPMS,Optima Prima Metal Sinergi Tbk,128,120,122,7,14.099.800,1.733.224.500,1.444
NZIA,Nusantara Almazia Tbk.,121,110,114,6,6.746.000,781.315.800,795
