code,name,high,low,close,change,volume,value,frequency
BBYB,Bank Neo Commerce Tbk.,494,468,472,10,190.159.500,91.215.282.200,25.391
BCAP,MNC Kapital Indonesia Tbk.,57,55,55,2,23.184.600,1.289.414.300,661
BCIC,Bank JTrust Indonesia Tbk.,170,157,160,5,3.221.800,524.038.400,1.053
BCIP,Bumi Citra Permai Tbk.,77,73,75,1,8.143.300,604.817.300,1.129
BDMN,Bank Danamon Indonesia Tbk.,2.490,2.400,2.430,20,2.294.600,5.569.393.000,585
BEKS,Bank Pembangunan Daerah Banten,31,30,31,0,51.739.400,1.602.861.700,621
BEST,Bekasi Fajar Industrial Estate,112,106,109,3,16.278.900,1.780.648.200,1.075
BFIN,BFI Finance  Indonesia Tbk.,710,700,710,10,5.433.400,3.835.338.000,1.289
BGTG,Bank Ganesha Tbk.,120,116,116,1,14.759.300,1.727.027.000,627
BHIT,MNC Asia Holding Tbk.,41,40,40,0,12.278.100,497.124.600,385
BIKA,Binakarya Jaya Abadi Tbk.,0,0,55,0,0,0,0
BIMA,Primarindo Asia Infrastructure,0,0,82,0,0,0,0
BINA,Bank Ina Perdana Tbk.,4.500,4.430,4.490,0,9.100,40.804.000,14
BIPI,Astrindo Nusantara Infrastrukt,88,86,87,0,180.608.400,15.674.513.500,24.543
BIPP,Bhuwanatala Indah Permai Tbk.,51,51,51,1,1.353.000,69.003.000,88
BIRD,Blue Bird Tbk.,1.705,1.685,1.695,15,605.900,1.026.894.500,436
BISI,BISI International Tbk.,870,855,870,10,60.000,51.713.500,98
BJBR,Bank Pembangunan Daerah Jawa B,820,805,805,15,1.832.200,1.484.275.000,865
BJTM,Bank Pembangunan Daerah Jawa T,545,540,540,0,3.972.200,2.151.278.500,894
BKDP,Bukit Darmo Property Tbk,46,42,46,4,4.950.100,214.782.700,1.451
BKSL,Sentul City Tbk.,138,133,134,1,537.721.400,72.674.023.000,29.813
BKSW,Bank QNB Indonesia Tbk.,66,63,64,1,8.932.500,572.625.800,382
BLTA,Berlian Laju Tanker Tbk,38,36,36,2,5.274.600,192.172.600,307
BLTZ,Graha Layar Prima Tbk.,0,0,2.900,0,0,0,0
BMAS,Bank Maspion Indonesia Tbk.,635,630,630,15,4.100,2.601.000,9
BMRI,Bank Mandiri (Persero) Tbk.,5.200,5.025,5.100,75,93.615.600,477.074.335.000,19.424
BMSR,Bintang Mitra Semestaraya Tbk,374,318,318,14,2.049.800,698.899.200,891
BMTR,Global Mediacom Tbk.,140,137,139,0,37.684.700,5.207.568.400,11.872
BNBA,Bank Bumi Arta Tbk.,670,645,645,5,363.100,237.823.000,77
BNBR,Bakrie & Brothers Tbk,0,0,116,0,0,0,0
BNGA,Bank CIMB Niaga Tbk.,1.760,1.740,1.755,0,1.599.100,2.793.338.500,944
BNII,Bank Maybank Indonesia Tbk.,214,208,212,0,2.588.700,545.083.600,509
BNLI,Bank Permata Tbk.,5.300,4.900,5.050,100,289.200,1.488.192.500,501
BOLT,Garuda Metalindo Tbk.,1.010,995,1.010,15,16.900,16.951.000,22
BPFI,Woori Finance Indonesia Tbk.,320,310,320,0,10.800,3.396.400,22
BPII,Batavia Prosperindo Internasio,515,505,515,10,25.400,12.904.500,9
BRAM,Indo Kordsa Tbk.,4.730,4.600,4.680,0,900,4.209.000,5
BRMS,Bumi Resources Minerals Tbk.,1.185,1.150,1.165,35,454.533.400,530.607.920.500,34.488
BRNA,Berlina Tbk.,720,705,720,0,6.600,4.659.000,8
BRPT,Barito Pacific Tbk.,3.520,3.430,3.440,70,42.852.500,147.970.023.000,11.870
BSDE,Bumi Serpong Damai Tbk.,925,905,905,10,9.703.700,8.850.888.000,2.787
BSIM,Bank Sinarmas Tbk.,925,835,875,10,66.800,58.600.000,124
BSSR,Baramulti Suksessarana Tbk.,4.000,3.950,3.960,10,915.900,3.636.787.000,1.288
BSWD,Bank Of India Indonesia Tbk.,835,835,835,15,3.300,2.755.500,2
BTEK,Bumi Teknokultura Unggul Tbk,17,16,17,1,133.202.700,2.240.088.600,1.893
BTEL,Bakrie Telecom Tbk.,0,0,50,0,0,0,0
BTON,Betonjaya Manunggal Tbk.,382,378,378,0,13.600,5.166.800,10
BTPN,Bank SMBC Indonesia Tbk.,2.100,2.100,2.100,0,900,1.890.000,5
BUDI,Budi Starch & Sweetener Tbk.,220,216,218,2,186.900,40.448.800,43
BUKK,Bukaka Teknik Utama Tbk.,1.705,1.560,1.620,80,257.100,418.718.500,191
BULL,Buana Lintas Lautan Tbk.,386,368,378,10,318.493.600,120.534.273.600,14.192
BUMI,Bumi Resources Tbk.,394,346,394,50,12.257.775.400,4.622.438.090.400,328.310
BUVA,Bukit Uluwatu Villa Tbk.,1.410,1.215,1.390,130,147.197.700,196.642.789.500,25.266
BVIC,Bank Victoria International Tb,113,108,110,2,9.613.200,1.060.645.800,402
BWPT,Eagle High Plantations Tbk.,145,140,142,0,72.789.600,10.385.586.700,4.240
BYAN,Bayan Resources Tbk.,16.000,15.950,15.975,25,20.500,327.510.000,95
CANI,Capitol Nusantara Indonesia Tb,0,0,116,0,0,0,0
CASS,Cahaya Aero Services Tbk.,2.700,2.420,2.650,220,164.600,417.846.000,144
CEKA,Wilmar Cahaya Indonesia Tbk.,2.490,2.430,2.450,30,3.800,9.291.000,12
CENT,Centratama Telekomunikasi Indo,146,134,136,10,23.938.100,3.327.450.700,1.975
CFIN,Clipan Finance Indonesia Tbk.,322,318,320,0,1.394.200,445.665.000,198
CINT,Chitose Internasional Tbk.,194,191,192,0,136.800,26.208.000,57
CITA,Cita Mineral Investindo Tbk.,4.550,4.300,4.400,110,467.900,2.056.566.000,523
CLPI,Colorpak Indonesia Tbk.,1.505,1.460,1.490,0,138.400,206.900.500,88
CMNP,Citra Marga Nusaphala Persada ,1.325,1.300,1.305,5,96.700,126.537.000,153
CMPP,AirAsia Indonesia Tbk.,98,98,98,4,146.000,14.308.000,55
CNKO,Exploitasi Energi Indonesia Tb,63,63,63,0,15.507.100,976.947.300,434
CNTX,Century Textile Industry Tbk.,0,0,142,0,0,0,0
COWL,Cowell Development Tbk.,0,0,50,0,0,0,0
CPIN,Charoen Pokphand Indonesia Tbk,4.640,4.550,4.550,90,3.886.100,17.800.831.000,2.181
CPRO,Central Proteina Prima Tbk.,63,61,61,1,94.645.200,5.787.211.400,1.847
CSAP,Catur Sentosa Adiprana Tbk.,326,318,320,0,66.500,21.407.200,58
CTBN,Citra Tubindo Tbk.,6.200,5.800,5.825,200,2.200,13.072.500,17
CTRA,Ciputra Development Tbk.,880,860,870,10,14.881.300,12.937.760.500,2.969
CTTH,Citatah Tbk.,159,137,137,24,40.516.000,5.677.421.100,4.973
DART,Duta Anggada Realty Tbk.,193,185,185,8,927.300,174.646.800,319
DEFI,Danasupra Erapacific Tbk.,206,206,206,18,37.400,7.704.400,10
DEWA,Darma Henwa Tbk,585,550,575,30,1.311.589.800,750.137.306.500,83.477
DGIK,Nusa Konstruksi Enjiniring Tbk,192,169,179,2,28.408.400,5.059.848.700,3.008
DILD,Intiland Development Tbk.,132,130,130,2,15.638.900,2.044.799.600,780
DKFT,Central Omega Resources Tbk.,710,670,705,35,15.426.200,10.713.554.000,1.485
DLTA,Delta Djakarta Tbk.,2.000,1.975,2.000,5,367.700,730.565.000,158
DMAS,Puradelta Lestari Tbk.,130,128,129,0,35.911.800,4.626.326.900,2.660
DNAR,Bank Oke Indonesia Tbk.,195,182,183,11,16.325.500,3.033.400.800,2.409
DNET,Indoritel Makmur Internasional,8.950,8.750,8.825,100,18.300,162.160.000,32
DOID,BUMA Internasional Grup Tbk.,310,294,302,8,13.183.000,3.980.737.000,1.280
DPNS,Duta Pertiwi Nusantara Tbk.,0,0,310,0,0,0,0
DSFI,Dharma Samudera Fishing Indust,97,89,90,6,21.000.400,1.921.886.700,1.514
DSNG,Dharma Satya Nusantara Tbk.,1.550,1.450,1.475,95,16.627.800,24.582.719.500,2.366
DSSA,Dian Swastatika Sentosa Tbk,111.000,108.775,110.400,1275,1.859.900,205.723.822.500,3.130
DUTI,Duta Pertiwi Tbk,4.300,4.020,4.250,50,1.500,6.201.000,7
DVLA,Darya-Varia Laboratoria Tbk.,1.665,1.645,1.660,0,31.400,52.101.000,44
DYAN,Dyandra Media International Tb,88,85,87,2,3.653.000,315.576.700,306
ECII,Electronic City Indonesia Tbk.,186,182,182,2,355.300,64.992.600,59
EKAD,Ekadharma International Tbk.,187,186,186,1,140.700,26.214.500,58
ELSA,Elnusa Tbk.,498,492,492,2,20.226.500,9.981.214.400,2.916
ELTY,Bakrieland Development Tbk.,40,40,40,4,216.984.700,8.679.388.000,2.976
EMDE,Megapolitan Developments Tbk.,98,93,94,11,44.877.300,4.254.291.500,3.035
EMTK,Elang Mahkota Teknologi Tbk.,1.230,1.140,1.140,85,168.830.400,197.053.929.500,25.472
ENRG,Energi Mega Persada Tbk.,1.490,1.445,1.450,5,68.932.300,100.874.260.500,11.749
EPMT,Enseval Putera Megatrading Tbk,2.330,2.300,2.320,10,23.600,54.417.000,43
ERAA,Erajaya Swasembada Tbk.,410,404,406,2,36.296.700,14.742.244.600,4.285
ERTX,Eratex Djaja Tbk.,218,198,212,6,6.812.900,1.406.840.700,993
ESSA,ESSA Industries Indonesia Tbk.,655,605,645,35,65.724.200,41.818.685.500,4.869
ESTI,Ever Shine Tex Tbk.,114,107,112,1,4.974.300,553.658.800,620
ETWA,Eterindo Wahanatama Tbk,0,0,70,0,0,0,0
EXCL,XLSMART Telecom Sejahtera Tbk.,3.880,3.760,3.760,140,11.651.700,44.315.518.000,5.267
FAST,Fast Food Indonesia Tbk.,595,535,565,10,11.458.100,6.493.034.500,3.132
FASW,Fajar Surya Wisesa Tbk.,0,0,5.275,0,0,0,0
FISH,FKS Multi Agro Tbk.,1.120,1.100,1.100,10,59.600,66.051.000,117
FMII,Fortune Mate Indonesia Tbk,308,280,298,2,175.100,51.398.000,163
FORU,Fortune Indonesia Tbk,1.695,1.495,1.530,165,1.490.900,2.301.734.000,1.177
FPNI,Lotte Chemical Titan Tbk.,950,880,900,50,15.358.200,13.869.742.500,5.058
GAMA,Aksara Global Development Tbk.,0,0,18,0,0,0,0
GDST,Gunawan Dianjaya Steel Tbk.,121,118,118,2,1.226.900,145.552.800,137
GDYR,Goodyear Indonesia Tbk.,1.100,1.025,1.040,60,1.515.500,1.590.304.500,460
GEMA,Gema Grahasarana Tbk.,97,95,95,0,4.491.600,429.286.800,534
GEMS,Golden Energy Mines Tbk.,8.500,8.350,8.400,100,72.500,610.210.000,206
GGRM,Gudang Garam Tbk.,13.150,12.950,13.025,150,698.300,9.106.005.000,1.406
GIAA,Garuda Indonesia (Persero) Tbk,105,102,105,4,44.664.800,4.583.969.400,1.991
GJTL,Gajah Tunggal Tbk.,1.060,1.040,1.040,15,2.636.200,2.764.880.500,771
GLOB,Globe Kita Terang Tbk.,0,0,155,0,0,0,0
GMTD,Gowa Makassar Tourism Developm,3.000,2.190,2.830,260,109.000,257.448.000,289
GOLD,Visi Telekomunikasi Infrastruk,342,320,330,10,330.300,108.937.400,200
GOLL,Golden Plantation Tbk.,0,0,50,0,0,0,0
GPRA,Perdana Gapuraprima Tbk.,130,126,130,1,16.825.700,2.153.890.600,660
GSMF,Equity Development Investment ,127,117,118,8,19.184.700,2.306.297.800,1.967
GTBO,Garda Tujuh Buana Tbk,260,242,248,12,1.108.100,273.720.400,212
GWSA,Greenwood Sejahtera Tbk.,154,150,152,1,2.352.500,357.252.300,115
GZCO,Gozco Plantations Tbk.,266,252,254,10,41.023.100,10.494.594.600,4.874
HADE,Himalaya Energi Perkasa Tbk.,26,25,25,1,1.096.000,27.690.900,119
HDFA,Radana Bhaskara Finance Tbk.,145,132,135,3,1.787.400,247.215.900,510
HERO,DFI Retail Nusantara Tbk.,458,448,456,2,207.000,93.574.600,61
HEXA,Hexindo Adiperkasa Tbk.,4.230,4.140,4.170,50,1.086.900,4.539.237.000,1.131
HITS,Humpuss Intermoda Transportasi,0,0,116,0,0,0,0
HMSP,H.M. Sampoerna Tbk.,735,715,735,15,20.285.300,14.801.125.000,3.114
HOME,Hotel Mandarine Regency Tbk.,0,0,50,0,0,0,0
HOTL,Saraswati Griya Lestari Tbk.,0,0,50,0,0,0,0
HRUM,Harum Energy Tbk.,1.040,995,1.020,20,17.978.700,18.311.138.500,2.719
IATA,MNC Energy Investments Tbk.,140,132,133,4,83.324.900,11.243.793.300,3.385
IBFN,Intan Baru Prana Tbk.,166,166,166,15,407.400,67.628.400,41
IBST,Inti Bangun Sejahtera Tbk.,4.850,4.750,4.850,0,700,3.375.000,4
